Unic Identifier,Database,Gene,Species,TaxID,Last update,Sequence version
UPI0007DD0B96,UniProtKB/TrEMBL,ND2,Mammuthus primigenius,37349,2023-06-28,1
UPI0007DD0BA9,UniProtKB/TrEMBL,ATP6,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DD0BD9,UniProtKB/TrEMBL,COX1,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DD0C84,UniProtKB/TrEMBL,COX1,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DD0E72,UniProtKB/TrEMBL,ND1,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DD0F3C,UniProtKB/TrEMBL,ND3,Mammuthus primigenius,37349,2023-06-28,1
UPI0007DD0F7C,UniProtKB/TrEMBL,ND5,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DD1246,UniProtKB/TrEMBL,COX2,Mammuthus primigenius,37349,2023-06-28,1
UPI0007DD13F3,UniProtKB/TrEMBL,COX3,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DD1660,UniProtKB/TrEMBL,ATP6,Mammuthus primigenius,37349,2023-06-28,1
UPI0007DD171A,UniProtKB/TrEMBL,ND4,Mammuthus columbi,1027716,2023-06-28,1
UPI0007DD187D,UniProtKB/TrEMBL,ND5,Mammuthus exilis,1851653,2023-06-28,1
UPI0007DD18DC,UniProtKB/TrEMBL,ND2,Mammuthus primigenius,37349,2023-06-28,1
UPI0007DD19E6,UniProtKB/TrEMBL,ATP8,Mammuthus primigenius,37349,2023-06-28,1
UPI0007DD1CAA,UniProtKB/TrEMBL,COX3,Mammuthus primigenius,37349,2023-06-28,1
UPI0007DD1CF7,UniProtKB/TrEMBL,COX2,Mammuthus primigenius,37349,2023-06-28,1
UPI0007DD1E7F,UniProtKB/TrEMBL,ND5,Mammuthus columbi,1027716,2023-06-28,1
UPI0007DD1E8E,UniProtKB/TrEMBL,COX2,Mammuthus columbi,1027716,2023-06-28,1
UPI0007DD1F1A,UniProtKB/TrEMBL,ND2,Mammuthus primigenius,37349,2023-06-28,1
UPI0007DD1FF4,UniProtKB/TrEMBL,ND4,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DD203A,UniProtKB/TrEMBL,COX2,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DD2124,UniProtKB/TrEMBL,COX1,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DD215F,UniProtKB/TrEMBL,COX2,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DD21DC,UniProtKB/TrEMBL,COX2,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DD230B,UniProtKB/TrEMBL,COX2,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DD2317,UniProtKB/TrEMBL,ND4,Mammuthus primigenius,37349,2023-06-28,1
UPI0007DD2400,UniProtKB/TrEMBL,ND1,Mammuthus primigenius,37349,2023-06-28,1
UPI0007DD24EC,UniProtKB/TrEMBL,COX3,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DD2520,UniProtKB/TrEMBL,COX1,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DD267A,UniProtKB/TrEMBL,ND5,Mammuthus jeffersonii,1851652,2023-06-28,1
UPI0007DD26AD,UniProtKB/TrEMBL,ND3,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DD2763,UniProtKB/TrEMBL,ATP6,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DD284E,UniProtKB/TrEMBL,ND3,Mammuthus exilis,1851653,2023-06-28,1
UPI0007DD2854,UniProtKB/TrEMBL,ND5,Mammuthus columbi,1027716,2023-06-28,1
UPI0007DD2A00,UniProtKB/TrEMBL,ND5,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DD2ADB,UniProtKB/TrEMBL,ND2,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DD2E4E,UniProtKB/TrEMBL,ATP8,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DD2EA7,UniProtKB/TrEMBL,COX1,Mammuthus primigenius,37349,2023-06-28,1
UPI0007DD3191,UniProtKB/TrEMBL,ND3,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DD31F3,UniProtKB/TrEMBL,ND5,Mammuthus primigenius,37349,2023-06-28,1
UPI0007DD3247,UniProtKB/TrEMBL,ND4L,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DD340B,UniProtKB/TrEMBL,COX2,Mammuthus columbi,1027716,2023-06-28,1
UPI0007DD3583,UniProtKB/TrEMBL,ND1,Mammuthus sp.,1851651,2023-06-28,1
